Timestamp,Column
3/28/2014 12:43:16,Dieter Rams
3/28/2014 12:43:32,Massimo Vignelli
3/28/2014 12:45:53,Massimo Vignelli
3/28/2014 12:47:13,Massimo Vignelli
3/28/2014 12:48:45,Dieter Rams
3/28/2014 12:49:58,Massimo Vignelli
3/28/2014 12:51:19,Massimo Vignelli
3/28/2014 12:51:31,Dieter Rams
3/28/2014 12:51:31,Massimo Vignelli
3/28/2014 12:51:38,Massimo Vignelli
3/28/2014 12:52:22,Dieter Rams
3/28/2014 12:53:23,Massimo Vignelli
3/28/2014 12:53:57,Dieter Rams
3/28/2014 12:57:09,Massimo Vignelli
3/28/2014 12:58:42,Massimo Vignelli
3/28/2014 12:59:49,Dieter Rams
3/28/2014 13:00:02,Dieter Rams
3/28/2014 13:00:27,Dieter Rams
3/28/2014 13:00:31,Massimo Vignelli
3/28/2014 13:00:34,Massimo Vignelli
3/28/2014 13:03:54,Massimo Vignelli
3/28/2014 13:04:52,Dieter Rams
3/28/2014 13:05:31,Massimo Vignelli
3/28/2014 13:10:23,Dieter Rams
3/28/2014 13:10:33,Massimo Vignelli
3/28/2014 13:12:16,Dieter Rams
3/28/2014 13:13:02,Massimo Vignelli
3/28/2014 13:14:03,Dieter Rams
3/28/2014 13:16:56,Dieter Rams
3/28/2014 13:17:27,Dieter Rams
3/28/2014 13:18:43,Dieter Rams
3/28/2014 13:18:58,Massimo Vignelli
3/28/2014 13:22:08,Dieter Rams
3/28/2014 13:25:43,Dieter Rams
3/28/2014 13:27:31,Dieter Rams
3/28/2014 13:28:36,Dieter Rams
3/28/2014 13:28:41,Dieter Rams
3/28/2014 13:29:11,Massimo Vignelli
3/28/2014 13:29:14,Massimo Vignelli
3/28/2014 13:29:17,Massimo Vignelli
3/28/2014 13:32:30,Dieter Rams
3/28/2014 13:36:36,Massimo Vignelli
3/28/2014 13:38:00,Massimo Vignelli
3/28/2014 13:42:10,Dieter Rams
3/28/2014 13:42:43,Dieter Rams
3/28/2014 13:42:47,Massimo Vignelli
3/28/2014 13:47:03,Dieter Rams
3/28/2014 13:48:38,Massimo Vignelli
3/28/2014 13:50:52,Dieter Rams
3/28/2014 13:52:37,Dieter Rams
3/28/2014 13:54:36,Massimo Vignelli
3/28/2014 13:55:11,Massimo Vignelli
3/28/2014 13:56:23,Massimo Vignelli
3/28/2014 14:01:48,Dieter Rams
3/28/2014 14:04:32,Dieter Rams
3/28/2014 14:16:53,Massimo Vignelli
3/28/2014 14:17:33,Dieter Rams
3/28/2014 14:17:48,Massimo Vignelli
3/28/2014 14:20:30,Dieter Rams
3/28/2014 14:21:46,Dieter Rams
3/28/2014 14:22:47,Dieter Rams
3/28/2014 14:26:14,Massimo Vignelli
3/28/2014 14:28:00,Dieter Rams
3/28/2014 14:36:22,Massimo Vignelli
3/28/2014 14:37:28,Dieter Rams
3/28/2014 14:37:30,Massimo Vignelli
3/28/2014 14:37:44,Dieter Rams
3/28/2014 14:39:52,Dieter Rams
3/28/2014 14:41:30,Dieter Rams
3/28/2014 14:41:48,Massimo Vignelli
3/28/2014 14:41:58,Massimo Vignelli
3/28/2014 14:44:29,Dieter Rams
3/28/2014 14:44:33,Dieter Rams
3/28/2014 14:44:41,Massimo Vignelli
3/28/2014 14:46:23,Dieter Rams
3/28/2014 14:46:32,Dieter Rams
3/28/2014 14:54:24,Dieter Rams
3/28/2014 14:54:49,Dieter Rams
3/28/2014 14:56:45,Massimo Vignelli
3/28/2014 14:57:04,Massimo Vignelli
3/28/2014 14:57:21,Massimo Vignelli
3/28/2014 14:57:29,Massimo Vignelli
3/28/2014 15:00:08,Dieter Rams
3/28/2014 15:08:40,Dieter Rams
3/28/2014 15:10:57,Massimo Vignelli
3/28/2014 15:11:13,Massimo Vignelli
3/28/2014 15:12:45,Dieter Rams
3/28/2014 15:16:16,Dieter Rams
3/28/2014 15:16:23,Dieter Rams
3/28/2014 15:16:38,Dieter Rams
3/28/2014 15:17:37,Massimo Vignelli
3/28/2014 15:18:45,Dieter Rams
3/28/2014 15:22:25,Dieter Rams
3/28/2014 15:22:30,Dieter Rams
3/28/2014 15:24:48,Dieter Rams
3/28/2014 15:25:28,Dieter Rams
3/28/2014 15:25:35,Dieter Rams
3/28/2014 15:27:50,Massimo Vignelli
3/28/2014 15:28:09,Massimo Vignelli
3/28/2014 15:33:22,Dieter Rams
3/28/2014 15:34:24,Dieter Rams
3/28/2014 15:37:03,Dieter Rams
3/28/2014 15:37:15,Dieter Rams
3/28/2014 15:38:33,Dieter Rams
3/28/2014 15:40:40,Massimo Vignelli
3/28/2014 15:42:31,Dieter Rams
3/28/2014 15:42:36,Massimo Vignelli
3/28/2014 15:44:24,Dieter Rams
3/28/2014 15:46:34,Dieter Rams
3/28/2014 15:49:25,Dieter Rams
3/28/2014 15:52:12,Massimo Vignelli
3/28/2014 15:52:47,Dieter Rams
3/28/2014 15:54:30,Dieter Rams
3/28/2014 15:55:03,Dieter Rams
3/28/2014 16:04:34,Massimo Vignelli
3/28/2014 16:07:01,Massimo Vignelli
3/28/2014 16:07:54,Massimo Vignelli
3/28/2014 16:12:04,Dieter Rams
3/28/2014 16:14:25,Dieter Rams
3/28/2014 16:16:40,Massimo Vignelli
3/28/2014 16:20:42,Dieter Rams
3/28/2014 16:23:21,Dieter Rams
3/28/2014 16:25:02,Massimo Vignelli
3/28/2014 16:26:57,Dieter Rams
3/28/2014 16:27:48,Dieter Rams
3/28/2014 16:28:54,Massimo Vignelli
3/28/2014 16:32:04,Massimo Vignelli
3/28/2014 16:34:04,Dieter Rams
3/28/2014 16:38:15,Dieter Rams
3/28/2014 16:38:49,Dieter Rams
3/28/2014 16:40:37,Massimo Vignelli
3/28/2014 16:44:44,Massimo Vignelli
3/28/2014 16:51:10,Dieter Rams
3/28/2014 16:53:53,Massimo Vignelli
3/28/2014 16:55:21,Massimo Vignelli
3/28/2014 16:58:41,Dieter Rams
3/28/2014 16:59:56,Dieter Rams
3/28/2014 17:02:24,Massimo Vignelli
3/28/2014 17:02:44,Massimo Vignelli
3/28/2014 17:03:21,Dieter Rams
3/28/2014 17:07:02,Dieter Rams
3/28/2014 17:10:27,Massimo Vignelli
3/28/2014 17:12:36,Dieter Rams
3/28/2014 17:20:14,Dieter Rams
3/28/2014 17:25:05,Dieter Rams
3/28/2014 17:25:22,Dieter Rams
3/28/2014 17:30:32,Dieter Rams
3/28/2014 17:36:24,Dieter Rams
3/28/2014 17:37:00,Dieter Rams
3/28/2014 17:41:12,Massimo Vignelli
3/28/2014 17:41:23,Massimo Vignelli
3/28/2014 17:44:54,Dieter Rams
3/28/2014 17:59:06,Dieter Rams
3/28/2014 18:02:28,Dieter Rams
3/28/2014 18:07:35,Dieter Rams
3/28/2014 18:15:58,Dieter Rams
3/28/2014 18:17:25,Dieter Rams
3/28/2014 18:18:58,Dieter Rams
3/28/2014 18:20:15,Dieter Rams
3/28/2014 18:23:52,Dieter Rams
3/28/2014 18:25:22,Dieter Rams
3/28/2014 18:34:22,Dieter Rams
3/28/2014 18:36:56,Dieter Rams
3/28/2014 18:44:23,Dieter Rams
3/28/2014 18:52:59,Massimo Vignelli
3/28/2014 18:58:30,Massimo Vignelli
3/28/2014 18:58:43,Massimo Vignelli
3/28/2014 19:01:11,Massimo Vignelli
3/28/2014 19:04:14,Dieter Rams
3/28/2014 19:19:12,Dieter Rams
3/28/2014 19:23:59,Dieter Rams
3/28/2014 19:27:07,Massimo Vignelli
3/28/2014 19:28:15,Massimo Vignelli
3/28/2014 19:37:19,Dieter Rams
3/28/2014 19:38:55,Massimo Vignelli
3/28/2014 19:38:56,Massimo Vignelli
3/28/2014 19:38:56,Massimo Vignelli
3/28/2014 19:38:56,Massimo Vignelli
3/28/2014 19:38:56,Massimo Vignelli
3/28/2014 19:38:57,Massimo Vignelli
3/28/2014 19:38:57,Massimo Vignelli
3/28/2014 19:38:57,Massimo Vignelli
3/28/2014 19:38:57,Massimo Vignelli
3/28/2014 19:38:57,Massimo Vignelli
3/28/2014 19:38:59,Massimo Vignelli
3/28/2014 19:39:01,Massimo Vignelli
3/28/2014 19:39:02,Massimo Vignelli
3/28/2014 19:39:03,Massimo Vignelli
3/28/2014 19:39:04,Massimo Vignelli
3/28/2014 19:39:05,Massimo Vignelli
3/28/2014 19:39:06,Massimo Vignelli
3/28/2014 19:39:05,Massimo Vignelli
3/28/2014 19:39:06,Massimo Vignelli
